Date : 2025-10-10 10:25:05
Directory : d:\EcoTrack-Waste-Management-System-main\client
Total : 765 files,  -159545 codes, -66630 comments, -26503 blanks, all -252678 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\console.py                                     | Python             |        -40 |        -17 |        -14 |        -71 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\filter.py                                      | Python             |        -26 |        -33 |        -13 |        -72 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\filters\__init__.py                            | Python             |       -756 |       -133 |        -52 |       -941 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\formatter.py                                   | Python             |        -28 |        -52 |        -15 |        -95 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\__init__.py                         | Python             |        -81 |        -42 |        -21 |       -144 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\_mapping.py                         | Python             |        -20 |         -2 |         -2 |        -24 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\bbcode.py                           | Python             |        -56 |        -38 |        -15 |       -109 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\groff.py                            | Python             |       -106 |        -30 |        -35 |       -171 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\html.py                             | Python             |       -370 |       -521 |        -99 |       -990 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\img.py                              | Python             |       -361 |       -225 |        -60 |       -646 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\irc.py                              | Python             |        -85 |        -77 |        -18 |       -180 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\latex.py                            | Python             |       -208 |       -263 |        -51 |       -522 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\other.py                            | Python             |        -32 |       -117 |        -13 |       -162 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\pangomarkup.py                      | Python             |        -50 |        -15 |        -19 |        -84 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\rtf.py                              | Python             |        -16 |       -123 |         -8 |       -147 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\svg.py                              | Python             |        -98 |        -75 |        -16 |       -189 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\terminal.py                         | Python             |        -51 |        -62 |        -15 |       -128 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\terminal256.py                      | Python             |       -190 |       -102 |        -47 |       -339 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py                                       | Python             |       -521 |       -253 |       -109 |       -883 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\__init__.py                             | Python             |       -190 |       -102 |        -44 |       -336 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\_mapping.py                             | Python             |       -538 |         -2 |         -2 |       -542 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\python.py                               | Python             |     -1,004 |       -141 |        -60 |     -1,205 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\modeline.py                                    | Python             |        -22 |        -12 |        -10 |        -44 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\plugin.py                                      | Python             |        -34 |        -43 |        -12 |        -89 |
