Date : 2025-10-10 10:25:05
Directory : d:\EcoTrack-Waste-Management-System-main\client
Total : 765 files,  -159545 codes, -66630 comments, -26503 blanks, all -252678 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript JSX     |         36 |      7,865 |        262 |        733 |      8,860 |
| JSON               |          2 |      3,837 |          0 |          2 |      3,839 |
| JSON with Comments |          1 |        338 |          0 |        299 |        637 |
| PostCSS            |          2 |         50 |          5 |         11 |         66 |
| Markdown           |          1 |         47 |          0 |         15 |         62 |
| JavaScript         |          3 |         40 |          1 |          5 |         46 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| Properties         |          1 |         -5 |          0 |         -1 |         -6 |
| XML                |          1 |        -14 |         -1 |         -1 |        -16 |
| pip requirements   |          1 |        -22 |         -6 |         -8 |        -36 |
| Batch              |          2 |        -40 |         -1 |        -17 |        -58 |
| PowerShell         |          1 |       -108 |       -360 |        -35 |       -503 |
| Python             |        713 |   -171,546 |    -66,530 |    -27,507 |   -265,583 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                  |        765 |   -159,545 |    -66,630 |    -26,503 |   -252,678 |
| . (Files)                                                                                                                                          |          8 |      4,275 |          1 |        322 |      4,598 |
| ..                                                                                                                                                 |        719 |   -171,735 |    -66,898 |    -27,569 |   -266,202 |
| ..\python-server                                                                                                                                   |        719 |   -171,735 |    -66,898 |    -27,569 |   -266,202 |
| ..\python-server (Files)                                                                                                                           |          5 |       -917 |       -180 |       -264 |     -1,361 |
| ..\python-server\.venv                                                                                                                             |        714 |   -170,818 |    -66,718 |    -27,305 |   -264,841 |
| ..\python-server\.venv (Files)                                                                                                                     |          1 |         -5 |          0 |         -1 |         -6 |
| ..\python-server\.venv\Lib                                                                                                                         |        710 |   -170,665 |    -66,357 |    -27,252 |   -264,274 |
| ..\python-server\.venv\Lib\site-packages                                                                                                           |        710 |   -170,665 |    -66,357 |    -27,252 |   -264,274 |
| ..\python-server\.venv\Lib\site-packages\_distutils_hack                                                                                           |          2 |       -128 |        -46 |        -51 |       -225 |
| ..\python-server\.venv\Lib\site-packages\pip                                                                                                       |        486 |   -127,384 |    -33,551 |    -16,591 |   -177,526 |
| ..\python-server\.venv\Lib\site-packages\pip (Files)                                                                                               |          3 |        -44 |        -26 |        -27 |        -97 |
| ..\python-server\.venv\Lib\site-packages\pip\_internal                                                                                             |        149 |    -19,792 |     -5,790 |     -4,470 |    -30,052 |
| ..\python-server\.venv\Lib\site-packages\pip\_internal (Files)                                                                                     |          9 |     -1,559 |       -499 |       -415 |     -2,473 |
| ..\python-server\.venv\Lib\site-packages\pip\_internal\cli                                                                                         |         12 |     -1,946 |       -358 |       -408 |     -2,712 |
| ..\python-server\.venv\Lib\site-packages\pip\_internal\commands                                                                                    |         18 |     -2,689 |       -304 |       -512 |     -3,505 |
| ..\python-server\.venv\Lib\site-packages\pip\_internal\distributions                                                                               |          5 |       -179 |        -55 |        -38 |       -272 |
| ..\python-server\.venv\Lib\site-packages\pip\_internal\index                                                                                       |          4 |     -1,138 |       -378 |       -244 |     -1,760 |
| ..\python-server\.venv\Lib\site-packages\pip\_internal\locations                                                                                   |          4 |       -625 |       -222 |       -164 |     -1,011 |
| ..\python-server\.venv\Lib\site-packages\pip\_internal\metadata                                                                                    |          8 |     -1,013 |       -407 |       -228 |     -1,648 |
| ..\python-server\.venv\Lib\site-packages\pip\_internal\metadata (Files)                                                                            |          4 |       -695 |       -321 |       -157 |     -1,173 |
| ..\python-server\.venv\Lib\site-packages\pip\_internal\metadata\importlib                                                                          |          4 |       -318 |        -86 |        -71 |       -475 |
| ..\python-server\.venv\Lib\site-packages\pip\_internal\models                                                                                      |         12 |       -821 |       -298 |       -226 |     -1,345 |
| ..\python-server\.venv\Lib\site-packages\pip\_internal\network                                                                                     |          8 |       -900 |       -337 |       -235 |     -1,472 |
| ..\python-server\.venv\Lib\site-packages\pip\_internal\operations                                                                                  |         16 |     -1,710 |       -363 |       -383 |     -2,456 |
| ..\python-server\.venv\Lib\site-packages\pip\_internal\operations (Files)                                                                          |          4 |       -768 |       -155 |       -151 |     -1,074 |
| ..\python-server\.venv\Lib\site-packages\pip\_internal\operations\build                                                                            |          8 |       -329 |        -51 |        -91 |       -471 |
| ..\python-server\.venv\Lib\site-packages\pip\_internal\operations\install                                                                          |          4 |       -613 |       -157 |       -141 |       -911 |
| ..\python-server\.venv\Lib\site-packages\pip\_internal\req                                                                                         |          6 |     -1,967 |       -464 |       -378 |     -2,809 |
| ..\python-server\.venv\Lib\site-packages\pip\_internal\resolution                                                                                  |         13 |     -2,017 |       -558 |       -419 |     -2,994 |
| ..\python-server\.venv\Lib\site-packages\pip\_internal\resolution (Files)                                                                          |          2 |        -15 |          0 |         -7 |        -22 |
| ..\python-server\.venv\Lib\site-packages\pip\_internal\resolution\legacy                                                                           |          2 |       -370 |       -165 |        -67 |       -602 |
| ..\python-server\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib                                                                       |          9 |     -1,632 |       -393 |       -345 |     -2,370 |
| ..\python-server\.venv\Lib\site-packages\pip\_internal\utils                                                                                       |         28 |     -2,251 |       -856 |       -637 |     -3,744 |
| ..\python-server\.venv\Lib\site-packages\pip\_internal\vcs                                                                                         |          6 |       -977 |       -691 |       -183 |     -1,851 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor                                                                                               |        334 |   -107,548 |    -27,735 |    -12,094 |   -147,377 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor (Files)                                                                                       |          3 |     -1,964 |       -916 |       -450 |     -3,330 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\cachecontrol                                                                                  |         13 |       -828 |       -347 |       -299 |     -1,474 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\cachecontrol (Files)                                                                          |         10 |       -696 |       -293 |       -246 |     -1,235 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches                                                                           |          3 |       -132 |        -54 |        -53 |       -239 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\certifi                                                                                       |          3 |        -58 |        -43 |        -26 |       -127 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\chardet                                                                                       |         45 |    -38,877 |     -1,605 |       -512 |    -40,994 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\chardet (Files)                                                                               |         41 |    -38,548 |     -1,515 |       -490 |    -40,553 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\cli                                                                                   |          2 |        -45 |        -31 |        -12 |        -88 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\metadata                                                                              |          2 |       -284 |        -59 |        -10 |       -353 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\colorama                                                                                      |          6 |       -583 |        -72 |       -126 |       -781 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\distlib                                                                                       |         13 |     -7,066 |     -2,209 |     -1,204 |    -10,479 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\distro                                                                                        |          3 |       -549 |       -761 |       -125 |     -1,435 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\idna                                                                                          |          8 |    -11,140 |        -37 |       -207 |    -11,384 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\msgpack                                                                                       |          4 |       -853 |       -312 |       -147 |     -1,312 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\packaging                                                                                     |         11 |     -1,423 |     -1,107 |       -409 |     -2,939 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\pep517                                                                                        |         11 |       -901 |       -342 |       -249 |     -1,492 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\pep517 (Files)                                                                                |          9 |       -668 |       -261 |       -184 |     -1,113 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\pep517\in_process                                                                             |          2 |       -233 |        -81 |        -65 |       -379 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\pkg_resources                                                                                 |          2 |     -1,828 |       -966 |       -527 |     -3,321 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\platformdirs                                                                                  |          8 |       -601 |       -309 |       -191 |     -1,101 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\pygments                                                                                      |         35 |     -6,304 |     -2,869 |     -1,036 |    -10,209 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\pygments (Files)                                                                              |         16 |     -2,016 |       -786 |       -450 |     -3,252 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\filters                                                                              |          1 |       -756 |       -133 |        -52 |       -941 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\formatters                                                                           |         14 |     -1,724 |     -1,692 |       -419 |     -3,835 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\lexers                                                                               |          3 |     -1,732 |       -245 |       -106 |     -2,083 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\styles                                                                               |          1 |        -76 |        -13 |         -9 |        -98 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\pyparsing                                                                                     |         11 |     -4,060 |     -5,512 |       -890 |    -10,462 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\pyparsing (Files)                                                                             |         10 |     -3,650 |     -5,361 |       -808 |     -9,819 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\pyparsing\diagram                                                                             |          1 |       -410 |       -151 |        -82 |       -643 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\requests                                                                                      |         18 |     -2,725 |     -1,936 |       -808 |     -5,469 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\resolvelib                                                                                    |          7 |       -455 |       -260 |       -147 |       -862 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\resolvelib (Files)                                                                            |          5 |       -450 |       -260 |       -144 |       -854 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\resolvelib\compat                                                                             |          2 |         -5 |          0 |         -3 |         -8 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\rich                                                                                          |         75 |    -18,551 |     -4,345 |     -2,393 |    -25,289 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\tenacity                                                                                      |         11 |       -828 |       -358 |       -319 |     -1,505 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\tomli                                                                                         |          4 |       -562 |       -137 |       -124 |       -823 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3                                                                                       |         38 |     -6,631 |     -3,041 |     -1,802 |    -11,474 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3 (Files)                                                                               |         11 |     -2,388 |     -1,313 |       -696 |     -4,397 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib                                                                               |         10 |     -1,900 |       -684 |       -478 |     -3,062 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib (Files)                                                                       |          7 |     -1,302 |       -514 |       -327 |     -2,143 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport                                                              |          3 |       -598 |       -170 |       -151 |       -919 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\packages                                                                              |          4 |       -773 |       -144 |       -214 |     -1,131 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\packages (Files)                                                                      |          2 |       -735 |       -133 |       -210 |     -1,078 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports                                                                    |          2 |        -38 |        -11 |         -4 |        -53 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\util                                                                                  |         13 |     -1,570 |       -900 |       -414 |     -2,884 |
| ..\python-server\.venv\Lib\site-packages\pip\_vendor\webencodings                                                                                  |          5 |       -761 |       -251 |       -103 |     -1,115 |
| ..\python-server\.venv\Lib\site-packages\pkg_resources                                                                                             |         43 |    -10,591 |    -11,607 |     -2,827 |    -25,025 |
| ..\python-server\.venv\Lib\site-packages\pkg_resources (Files)                                                                                     |          1 |     -1,813 |       -962 |       -522 |     -3,297 |
| ..\python-server\.venv\Lib\site-packages\pkg_resources\_vendor                                                                                     |         41 |     -8,729 |    -10,630 |     -2,292 |    -21,651 |
| ..\python-server\.venv\Lib\site-packages\pkg_resources\_vendor (Files)                                                                             |          3 |       -382 |       -471 |        -87 |       -940 |
| ..\python-server\.venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources                                                                 |          9 |       -505 |       -237 |       -206 |       -948 |
| ..\python-server\.venv\Lib\site-packages\pkg_resources\_vendor\jaraco                                                                              |          4 |       -499 |       -686 |       -156 |     -1,341 |
| ..\python-server\.venv\Lib\site-packages\pkg_resources\_vendor\jaraco (Files)                                                                      |          3 |       -263 |       -394 |        -84 |       -741 |
| ..\python-server\.venv\Lib\site-packages\pkg_resources\_vendor\jaraco\text                                                                         |          1 |       -236 |       -292 |        -72 |       -600 |
| ..\python-server\.venv\Lib\site-packages\pkg_resources\_vendor\more_itertools                                                                      |          3 |     -1,860 |     -2,617 |       -544 |     -5,021 |
| ..\python-server\.venv\Lib\site-packages\pkg_resources\_vendor\packaging                                                                           |         11 |     -1,423 |     -1,107 |       -409 |     -2,939 |
| ..\python-server\.venv\Lib\site-packages\pkg_resources\_vendor\pyparsing                                                                           |         11 |     -4,060 |     -5,512 |       -890 |    -10,462 |
| ..\python-server\.venv\Lib\site-packages\pkg_resources\_vendor\pyparsing (Files)                                                                   |         10 |     -3,650 |     -5,361 |       -808 |     -9,819 |
| ..\python-server\.venv\Lib\site-packages\pkg_resources\_vendor\pyparsing\diagram                                                                   |          1 |       -410 |       -151 |        -82 |       -643 |
| ..\python-server\.venv\Lib\site-packages\pkg_resources\extern                                                                                      |          1 |        -49 |        -15 |        -13 |        -77 |
| ..\python-server\.venv\Lib\site-packages\setuptools                                                                                                |        179 |    -32,562 |    -21,153 |     -7,783 |    -61,498 |
| ..\python-server\.venv\Lib\site-packages\setuptools (Files)                                                                                        |         30 |     -4,023 |     -2,740 |     -1,046 |     -7,809 |
| ..\python-server\.venv\Lib\site-packages\setuptools\_distutils                                                                                     |         56 |     -9,982 |     -4,394 |     -2,382 |    -16,758 |
| ..\python-server\.venv\Lib\site-packages\setuptools\_distutils (Files)                                                                             |         33 |     -6,137 |     -3,293 |     -1,558 |    -10,988 |
| ..\python-server\.venv\Lib\site-packages\setuptools\_distutils\command                                                                             |         23 |     -3,845 |     -1,101 |       -824 |     -5,770 |
| ..\python-server\.venv\Lib\site-packages\setuptools\_vendor                                                                                        |         54 |    -10,980 |    -11,784 |     -2,865 |    -25,629 |
| ..\python-server\.venv\Lib\site-packages\setuptools\_vendor (Files)                                                                                |          4 |     -1,629 |     -1,130 |       -358 |     -3,117 |
| ..\python-server\.venv\Lib\site-packages\setuptools\_vendor\importlib_metadata                                                                     |          8 |       -691 |       -604 |       -253 |     -1,548 |
| ..\python-server\.venv\Lib\site-packages\setuptools\_vendor\importlib_resources                                                                    |          9 |       -505 |       -237 |       -206 |       -948 |
| ..\python-server\.venv\Lib\site-packages\setuptools\_vendor\jaraco                                                                                 |          4 |       -499 |       -686 |       -156 |     -1,341 |
| ..\python-server\.venv\Lib\site-packages\setuptools\_vendor\jaraco (Files)                                                                         |          3 |       -263 |       -394 |        -84 |       -741 |
| ..\python-server\.venv\Lib\site-packages\setuptools\_vendor\jaraco\text                                                                            |          1 |       -236 |       -292 |        -72 |       -600 |
| ..\python-server\.venv\Lib\site-packages\setuptools\_vendor\more_itertools                                                                         |          3 |     -1,611 |     -2,371 |       -469 |     -4,451 |
| ..\python-server\.venv\Lib\site-packages\setuptools\_vendor\packaging                                                                              |         11 |     -1,423 |     -1,107 |       -409 |     -2,939 |
| ..\python-server\.venv\Lib\site-packages\setuptools\_vendor\pyparsing                                                                              |         11 |     -4,060 |     -5,512 |       -890 |    -10,462 |
| ..\python-server\.venv\Lib\site-packages\setuptools\_vendor\pyparsing (Files)                                                                      |         10 |     -3,650 |     -5,361 |       -808 |     -9,819 |
| ..\python-server\.venv\Lib\site-packages\setuptools\_vendor\pyparsing\diagram                                                                      |          1 |       -410 |       -151 |        -82 |       -643 |
| ..\python-server\.venv\Lib\site-packages\setuptools\_vendor\tomli                                                                                  |          4 |       -562 |       -137 |       -124 |       -823 |
| ..\python-server\.venv\Lib\site-packages\setuptools\command                                                                                        |         27 |     -4,854 |     -1,493 |     -1,006 |     -7,353 |
| ..\python-server\.venv\Lib\site-packages\setuptools\config                                                                                         |         11 |     -2,674 |       -727 |       -471 |     -3,872 |
| ..\python-server\.venv\Lib\site-packages\setuptools\config (Files)                                                                                 |          5 |     -1,282 |       -484 |       -368 |     -2,134 |
| ..\python-server\.venv\Lib\site-packages\setuptools\config\_validate_pyproject                                                                     |          6 |     -1,392 |       -243 |       -103 |     -1,738 |
| ..\python-server\.venv\Lib\site-packages\setuptools\extern                                                                                         |          1 |        -49 |        -15 |        -13 |        -77 |
| ..\python-server\.venv\Scripts                                                                                                                     |          3 |       -148 |       -361 |        -52 |       -561 |
| src                                                                                                                                                |         38 |      7,915 |        267 |        744 |      8,926 |
| src (Files)                                                                                                                                        |          4 |         98 |         12 |         21 |        131 |
| src\components                                                                                                                                     |         19 |      3,602 |        102 |        328 |      4,032 |
| src\components (Files)                                                                                                                             |         10 |        962 |         55 |        140 |      1,157 |
| src\components\admin                                                                                                                               |          5 |      1,499 |         16 |        110 |      1,625 |
| src\components\user                                                                                                                                |          4 |      1,141 |         31 |         78 |      1,250 |
| src\context                                                                                                                                        |          1 |         64 |          0 |          6 |         70 |
| src\pages                                                                                                                                          |         14 |      4,151 |        153 |        389 |      4,693 |
| src\pages (Files)                                                                                                                                  |          9 |      3,111 |         95 |        251 |      3,457 |
| src\pages\Admin                                                                                                                                    |          1 |         90 |          4 |         14 |        108 |
| src\pages\map                                                                                                                                      |          4 |        950 |         54 |        124 |      1,128 |
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                           | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\EcoTrack-Waste-Management-System-main\client\README.md                                                                                          | Markdown           |         47 |          0 |         15 |         62 |
| d:\EcoTrack-Waste-Management-System-main\client\bun.lock                                                                                           | JSON with Comments |        338 |          0 |        299 |        637 |
| d:\EcoTrack-Waste-Management-System-main\client\eslint.config.js                                                                                   | JavaScript         |         32 |          0 |          2 |         34 |
| d:\EcoTrack-Waste-Management-System-main\client\index.html                                                                                         | HTML               |         13 |          0 |          1 |         14 |
| d:\EcoTrack-Waste-Management-System-main\client\package-lock.json                                                                                  | JSON               |      3,795 |          0 |          1 |      3,796 |
| d:\EcoTrack-Waste-Management-System-main\client\package.json                                                                                       | JSON               |         42 |          0 |          1 |         43 |
| d:\EcoTrack-Waste-Management-System-main\client\src\App.css                                                                                        | PostCSS            |          1 |          0 |          0 |          1 |
| d:\EcoTrack-Waste-Management-System-main\client\src\App.jsx                                                                                        | JavaScript JSX     |         36 |          7 |          8 |         51 |
| d:\EcoTrack-Waste-Management-System-main\client\src\components\Footer.jsx                                                                          | JavaScript JSX     |          9 |          0 |          2 |         11 |
| d:\EcoTrack-Waste-Management-System-main\client\src\components\GPSPermission.jsx                                                                   | JavaScript JSX     |         34 |          2 |          8 |         44 |
| d:\EcoTrack-Waste-Management-System-main\client\src\components\Navbar.jsx                                                                          | JavaScript JSX     |        111 |          7 |         15 |        133 |
| d:\EcoTrack-Waste-Management-System-main\client\src\components\Register.jsx                                                                        | JavaScript JSX     |         79 |          6 |         13 |         98 |
| d:\EcoTrack-Waste-Management-System-main\client\src\components\SlideUpPanel.jsx                                                                    | JavaScript JSX     |         29 |          2 |          4 |         35 |
| d:\EcoTrack-Waste-Management-System-main\client\src\components\WCNavbar.jsx                                                                        | JavaScript JSX     |         91 |          7 |         16 |        114 |
| d:\EcoTrack-Waste-Management-System-main\client\src\components\adminMainNavigation.jsx                                                             | JavaScript JSX     |        275 |          6 |         20 |        301 |
| d:\EcoTrack-Waste-Management-System-main\client\src\components\adminNav.jsx                                                                        | JavaScript JSX     |        111 |          7 |         15 |        133 |
| d:\EcoTrack-Waste-Management-System-main\client\src\components\admin\AdminSettings.jsx                                                             | JavaScript JSX     |        442 |          3 |         35 |        480 |
| d:\EcoTrack-Waste-Management-System-main\client\src\components\admin\AnalyticsDashboard.jsx                                                        | JavaScript JSX     |        368 |          6 |         24 |        398 |
| d:\EcoTrack-Waste-Management-System-main\client\src\components\admin\NotificationCenter.jsx                                                        | JavaScript JSX     |        201 |          1 |         14 |        216 |
| d:\EcoTrack-Waste-Management-System-main\client\src\components\admin\ReportDetailsModal.jsx                                                        | JavaScript JSX     |        253 |          6 |         17 |        276 |
| d:\EcoTrack-Waste-Management-System-main\client\src\components\admin\UserManagementModal.jsx                                                       | JavaScript JSX     |        235 |          0 |         20 |        255 |
| d:\EcoTrack-Waste-Management-System-main\client\src\components\login.jsx                                                                           | JavaScript JSX     |        206 |         15 |         41 |        262 |
| d:\EcoTrack-Waste-Management-System-main\client\src\components\userMainNavigation.jsx                                                              | JavaScript JSX     |         17 |          3 |          6 |         26 |
| d:\EcoTrack-Waste-Management-System-main\client\src\components\user\ReportCard.jsx                                                                 | JavaScript JSX     |        211 |          5 |         16 |        232 |
| d:\EcoTrack-Waste-Management-System-main\client\src\components\user\ReportDetailsModal.jsx                                                         | JavaScript JSX     |        343 |         17 |         22 |        382 |
| d:\EcoTrack-Waste-Management-System-main\client\src\components\user\UserProfile.jsx                                                                | JavaScript JSX     |        202 |          2 |         15 |        219 |
| d:\EcoTrack-Waste-Management-System-main\client\src\components\user\UserSettings.jsx                                                               | JavaScript JSX     |        385 |          7 |         25 |        417 |
| d:\EcoTrack-Waste-Management-System-main\client\src\context\authContext.jsx                                                                        | JavaScript JSX     |         64 |          0 |          6 |         70 |
| d:\EcoTrack-Waste-Management-System-main\client\src\index.css                                                                                      | PostCSS            |         49 |          5 |         11 |         65 |
| d:\EcoTrack-Waste-Management-System-main\client\src\main.jsx                                                                                       | JavaScript JSX     |         12 |          0 |          2 |         14 |
| d:\EcoTrack-Waste-Management-System-main\client\src\pages\AddBinOnMap.jsx                                                                          | JavaScript JSX     |        371 |         16 |         37 |        424 |
| d:\EcoTrack-Waste-Management-System-main\client\src\pages\AddWasteBin.jsx                                                                          | JavaScript JSX     |        309 |          5 |         27 |        341 |
| d:\EcoTrack-Waste-Management-System-main\client\src\pages\Admin\Notification.jsx                                                                   | JavaScript JSX     |         90 |          4 |         14 |        108 |
| d:\EcoTrack-Waste-Management-System-main\client\src\pages\Schedule.jsx                                                                             | JavaScript JSX     |         84 |         22 |         10 |        116 |
| d:\EcoTrack-Waste-Management-System-main\client\src\pages\UserMain.jsx                                                                             | JavaScript JSX     |          9 |          0 |          2 |         11 |
| d:\EcoTrack-Waste-Management-System-main\client\src\pages\WCReports.jsx                                                                            | JavaScript JSX     |         61 |          0 |          4 |         65 |
| d:\EcoTrack-Waste-Management-System-main\client\src\pages\adminDashboard.jsx                                                                       | JavaScript JSX     |        799 |          9 |         48 |        856 |
| d:\EcoTrack-Waste-Management-System-main\client\src\pages\complaints.jsx                                                                           | JavaScript JSX     |        113 |          5 |         10 |        128 |
| d:\EcoTrack-Waste-Management-System-main\client\src\pages\map\CollectorMap.jsx                                                                     | JavaScript JSX     |        261 |         29 |         51 |        341 |
| d:\EcoTrack-Waste-Management-System-main\client\src\pages\map\Map.jsx                                                                              | JavaScript JSX     |        676 |         25 |         69 |        770 |
| d:\EcoTrack-Waste-Management-System-main\client\src\pages\map\UserMap.jsx                                                                          | JavaScript JSX     |          5 |          0 |          3 |          8 |
| d:\EcoTrack-Waste-Management-System-main\client\src\pages\map\reverseLocation.jsx                                                                  | JavaScript JSX     |          8 |          0 |          1 |          9 |
| d:\EcoTrack-Waste-Management-System-main\client\src\pages\userDashboard.jsx                                                                        | JavaScript JSX     |        653 |         17 |         48 |        718 |
| d:\EcoTrack-Waste-Management-System-main\client\src\pages\userReportForm.jsx                                                                       | JavaScript JSX     |        712 |         21 |         65 |        798 |
| d:\EcoTrack-Waste-Management-System-main\client\tailwind.config.js                                                                                 | JavaScript         |          0 |          0 |          1 |          1 |
| d:\EcoTrack-Waste-Management-System-main\client\vite.config.js                                                                                     | JavaScript         |          8 |          1 |          2 |         11 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\_distutils_hack\__init__.py                                         | Python             |       -127 |        -46 |        -50 |       -223 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\_distutils_hack\override.py                                         | Python             |         -1 |          0 |         -1 |         -2 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\__init__.py                                                     | Python             |         -5 |         -4 |         -5 |        -14 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\__main__.py                                                     | Python             |        -14 |        -13 |         -5 |        -32 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\__pip-runner__.py                                               | Python             |        -25 |         -9 |        -17 |        -51 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\__init__.py                                           | Python             |         -7 |         -7 |         -6 |        -20 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\build_env.py                                          | Python             |       -216 |        -57 |        -38 |       -311 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\cache.py                                              | Python             |       -185 |        -61 |        -48 |       -294 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\cli\__init__.py                                       | Python             |          0 |         -3 |         -2 |         -5 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py                                 | Python             |       -118 |        -37 |        -17 |       -172 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\cli\base_command.py                                   | Python             |       -157 |        -22 |        -38 |       -217 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py                                     | Python             |       -812 |        -92 |       -146 |     -1,050 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\cli\command_context.py                                | Python             |        -20 |          0 |         -8 |        -28 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\cli\main.py                                           | Python             |        -28 |        -28 |        -15 |        -71 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\cli\main_parser.py                                    | Python             |        -79 |        -27 |        -29 |       -135 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\cli\parser.py                                         | Python             |       -196 |        -49 |        -50 |       -295 |
