"filename", "language", "pip requirements", "Python", "Properties", "XML", "Batch", "PowerShell", "comment", "blank", "total"
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\packaging\__about__.py", "Python", 0, 18, 0, 0, 0, 0, 3, 6, 27
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\packaging\__init__.py", "Python", 0, 20, 0, 0, 0, 0, 3, 3, 26
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\packaging\_manylinux.py", "Python", 0, 196, 0, 0, 0, 0, 68, 38, 302
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\packaging\_musllinux.py", "Python", 0, 85, 0, 0, 0, 0, 32, 20, 137
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\packaging\_structures.py", "Python", 0, 36, 0, 0, 0, 0, 3, 23, 62
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\packaging\markers.py", "Python", 0, 208, 0, 0, 0, 0, 25, 72, 305
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\packaging\requirements.py", "Python", 0, 97, 0, 0, 0, 0, 18, 32, 147
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\packaging\specifiers.py", "Python", 0, 203, 0, 0, 0, 0, 549, 51, 803
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\packaging\tags.py", "Python", 0, 308, 0, 0, 0, 0, 103, 77, 488
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\packaging\utils.py", "Python", 0, 81, 0, 0, 0, 0, 26, 30, 137
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\packaging\version.py", "Python", 0, 171, 0, 0, 0, 0, 277, 57, 505
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\pyparsing\__init__.py", "Python", 0, 292, 0, 0, 0, 0, 25, 15, 332
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\pyparsing\actions.py", "Python", 0, 52, 0, 0, 0, 0, 129, 27, 208
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\pyparsing\common.py", "Python", 0, 153, 0, 0, 0, 0, 236, 36, 425
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\pyparsing\core.py", "Python", 0, 1556, 0, 0, 0, 0, 3855, 404, 5815
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\pyparsing\diagram\__init__.py", "Python", 0, 410, 0, 0, 0, 0, 151, 82, 643
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\pyparsing\exceptions.py", "Python", 0, 120, 0, 0, 0, 0, 108, 40, 268
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\pyparsing\helpers.py", "Python", 0, 511, 0, 0, 0, 0, 483, 95, 1089
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\pyparsing\results.py", "Python", 0, 313, 0, 0, 0, 0, 383, 65, 761
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\pyparsing\testing.py", "Python", 0, 222, 0, 0, 0, 0, 75, 35, 332
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\pyparsing\unicode.py", "Python", 0, 277, 0, 0, 0, 0, 32, 44, 353
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\pyparsing\util.py", "Python", 0, 154, 0, 0, 0, 0, 35, 47, 236
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\tomli\__init__.py", "Python", 0, 4, 0, 0, 0, 0, 4, 4, 12
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\tomli\_parser.py", "Python", 0, 522, 0, 0, 0, 0, 59, 111, 692
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\tomli\_re.py", "Python", 0, 32, 0, 0, 0, 0, 70, 6, 108
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\tomli\_types.py", "Python", 0, 4, 0, 0, 0, 0, 4, 3, 11
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\typing_extensions.py", "Python", 0, 1337, 0, 0, 0, 0, 692, 268, 2297
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\_vendor\zipp.py", "Python", 0, 133, 0, 0, 0, 0, 146, 51, 330
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\archive_util.py", "Python", 0, 122, 0, 0, 0, 0, 53, 39, 214
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\build_meta.py", "Python", 0, 137, 0, 0, 0, 0, 337, 38, 512
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\__init__.py", "Python", 0, 9, 0, 0, 0, 0, 1, 3, 13
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\alias.py", "Python", 0, 60, 0, 0, 0, 0, 2, 17, 79
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\bdist_egg.py", "Python", 0, 347, 0, 0, 0, 0, 34, 77, 458
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\bdist_rpm.py", "Python", 0, 25, 0, 0, 0, 0, 8, 8, 41
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\build.py", "Python", 0, 34, 0, 0, 0, 0, 95, 18, 147
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\build_clib.py", "Python", 0, 64, 0, 0, 0, 0, 27, 11, 102
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\build_ext.py", "Python", 0, 289, 0, 0, 0, 0, 42, 53, 384
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\build_py.py", "Python", 0, 260, 0, 0, 0, 0, 59, 50, 369
