Date : 2025-10-09 23:27:19
Directory : d:\EcoTrack-Waste-Management-System-main\server
Total : 71 files,  -8402 codes, -151 comments, -755 blanks, all -9308 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\EcoTrack-Waste-Management-System-main\client\src\pages\complaints.jsx                     | JavaScript JSX     |       -113 |         -5 |        -10 |       -128 |
| d:\EcoTrack-Waste-Management-System-main\client\src\pages\map\CollectorMap.jsx               | JavaScript JSX     |       -261 |        -29 |        -51 |       -341 |
| d:\EcoTrack-Waste-Management-System-main\client\src\pages\map\Map.jsx                        | JavaScript JSX     |       -676 |        -25 |        -69 |       -770 |
| d:\EcoTrack-Waste-Management-System-main\client\src\pages\map\UserMap.jsx                    | JavaScript JSX     |         -5 |          0 |         -3 |         -8 |
| d:\EcoTrack-Waste-Management-System-main\client\src\pages\map\reverseLocation.jsx            | JavaScript JSX     |         -8 |          0 |         -1 |         -9 |
| d:\EcoTrack-Waste-Management-System-main\client\src\pages\userDashboard.jsx                  | JavaScript JSX     |       -653 |        -17 |        -48 |       -718 |
| d:\EcoTrack-Waste-Management-System-main\client\src\pages\userReportForm.jsx                 | JavaScript JSX     |       -712 |        -21 |        -65 |       -798 |
| d:\EcoTrack-Waste-Management-System-main\client\tailwind.config.js                           | JavaScript         |          0 |          0 |         -1 |         -1 |
| d:\EcoTrack-Waste-Management-System-main\client\vite.config.js                               | JavaScript         |         -8 |         -1 |         -2 |        -11 |
| d:\EcoTrack-Waste-Management-System-main\server\README.md                                    | Markdown           |         67 |          0 |         20 |         87 |
| d:\EcoTrack-Waste-Management-System-main\server\config\connectDB.js                          | JavaScript         |         14 |          4 |          5 |         23 |
| d:\EcoTrack-Waste-Management-System-main\server\config\multer.js                             | JavaScript         |         16 |          0 |          4 |         20 |
| d:\EcoTrack-Waste-Management-System-main\server\controllers\adminController.js               | JavaScript         |        406 |         26 |         54 |        486 |
| d:\EcoTrack-Waste-Management-System-main\server\controllers\settingsController.js            | JavaScript         |        102 |          6 |         11 |        119 |
| d:\EcoTrack-Waste-Management-System-main\server\controllers\userController.js                | JavaScript         |         57 |          8 |         15 |         80 |
| d:\EcoTrack-Waste-Management-System-main\server\controllers\userReportController.js          | JavaScript         |        345 |         28 |         61 |        434 |
| d:\EcoTrack-Waste-Management-System-main\server\controllers\wasteBinController.js            | JavaScript         |        285 |         20 |         49 |        354 |
| d:\EcoTrack-Waste-Management-System-main\server\eslint.config.js                             | JavaScript         |         32 |          0 |          2 |         34 |
