"filename", "language", "JavaScript", "Markdown", "JSON", "JavaScript JSX", "PostCSS", "HTML", "JSON with Comments", "comment", "blank", "total"
"d:\EcoTrack-Waste-Management-System-main\client\src\components\admin\AnalyticsDashboard.jsx", "JavaScript JSX", 0, 0, 0, -368, 0, 0, 0, -6, -24, -398
"d:\EcoTrack-Waste-Management-System-main\client\src\components\admin\NotificationCenter.jsx", "JavaScript JSX", 0, 0, 0, -201, 0, 0, 0, -1, -14, -216
"d:\EcoTrack-Waste-Management-System-main\client\src\components\admin\ReportDetailsModal.jsx", "JavaScript JSX", 0, 0, 0, -253, 0, 0, 0, -6, -17, -276
"d:\EcoTrack-Waste-Management-System-main\client\src\components\admin\UserManagementModal.jsx", "JavaScript JSX", 0, 0, 0, -235, 0, 0, 0, 0, -20, -255
"d:\EcoTrack-Waste-Management-System-main\client\src\components\login.jsx", "JavaScript JSX", 0, 0, 0, -206, 0, 0, 0, -15, -41, -262
"d:\EcoTrack-Waste-Management-System-main\client\src\components\userMainNavigation.jsx", "JavaScript JSX", 0, 0, 0, -17, 0, 0, 0, -3, -6, -26
"d:\EcoTrack-Waste-Management-System-main\client\src\components\user\ReportCard.jsx", "JavaScript JSX", 0, 0, 0, -211, 0, 0, 0, -5, -16, -232
"d:\EcoTrack-Waste-Management-System-main\client\src\components\user\ReportDetailsModal.jsx", "JavaScript JSX", 0, 0, 0, -343, 0, 0, 0, -17, -22, -382
"d:\EcoTrack-Waste-Management-System-main\client\src\components\user\UserProfile.jsx", "JavaScript JSX", 0, 0, 0, -202, 0, 0, 0, -2, -15, -219
"d:\EcoTrack-Waste-Management-System-main\client\src\components\user\UserSettings.jsx", "JavaScript JSX", 0, 0, 0, -385, 0, 0, 0, -7, -25, -417
"d:\EcoTrack-Waste-Management-System-main\client\src\context\authContext.jsx", "JavaScript JSX", 0, 0, 0, -64, 0, 0, 0, 0, -6, -70
"d:\EcoTrack-Waste-Management-System-main\client\src\index.css", "PostCSS", 0, 0, 0, 0, -49, 0, 0, -5, -11, -65
"d:\EcoTrack-Waste-Management-System-main\client\src\main.jsx", "JavaScript JSX", 0, 0, 0, -12, 0, 0, 0, 0, -2, -14
"d:\EcoTrack-Waste-Management-System-main\client\src\pages\AddBinOnMap.jsx", "JavaScript JSX", 0, 0, 0, -371, 0, 0, 0, -16, -37, -424
"d:\EcoTrack-Waste-Management-System-main\client\src\pages\AddWasteBin.jsx", "JavaScript JSX", 0, 0, 0, -309, 0, 0, 0, -5, -27, -341
"d:\EcoTrack-Waste-Management-System-main\client\src\pages\Admin\Notification.jsx", "JavaScript JSX", 0, 0, 0, -90, 0, 0, 0, -4, -14, -108
"d:\EcoTrack-Waste-Management-System-main\client\src\pages\Schedule.jsx", "JavaScript JSX", 0, 0, 0, -84, 0, 0, 0, -22, -10, -116
"d:\EcoTrack-Waste-Management-System-main\client\src\pages\UserMain.jsx", "JavaScript JSX", 0, 0, 0, -9, 0, 0, 0, 0, -2, -11
"d:\EcoTrack-Waste-Management-System-main\client\src\pages\WCReports.jsx", "JavaScript JSX", 0, 0, 0, -61, 0, 0, 0, 0, -4, -65
"d:\EcoTrack-Waste-Management-System-main\client\src\pages\adminDashboard.jsx", "JavaScript JSX", 0, 0, 0, -799, 0, 0, 0, -9, -48, -856
"d:\EcoTrack-Waste-Management-System-main\client\src\pages\complaints.jsx", "JavaScript JSX", 0, 0, 0, -113, 0, 0, 0, -5, -10, -128
"d:\EcoTrack-Waste-Management-System-main\client\src\pages\map\CollectorMap.jsx", "JavaScript JSX", 0, 0, 0, -261, 0, 0, 0, -29, -51, -341
"d:\EcoTrack-Waste-Management-System-main\client\src\pages\map\Map.jsx", "JavaScript JSX", 0, 0, 0, -676, 0, 0, 0, -25, -69, -770
"d:\EcoTrack-Waste-Management-System-main\client\src\pages\map\UserMap.jsx", "JavaScript JSX", 0, 0, 0, -5, 0, 0, 0, 0, -3, -8
"d:\EcoTrack-Waste-Management-System-main\client\src\pages\map\reverseLocation.jsx", "JavaScript JSX", 0, 0, 0, -8, 0, 0, 0, 0, -1, -9
"d:\EcoTrack-Waste-Management-System-main\client\src\pages\userDashboard.jsx", "JavaScript JSX", 0, 0, 0, -653, 0, 0, 0, -17, -48, -718
"d:\EcoTrack-Waste-Management-System-main\client\src\pages\userReportForm.jsx", "JavaScript JSX", 0, 0, 0, -712, 0, 0, 0, -21, -65, -798
"d:\EcoTrack-Waste-Management-System-main\client\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\EcoTrack-Waste-Management-System-main\client\vite.config.js", "JavaScript", -8, 0, 0, 0, 0, 0, 0, -1, -2, -11
"d:\EcoTrack-Waste-Management-System-main\server\README.md", "Markdown", 0, 67, 0, 0, 0, 0, 0, 0, 20, 87
"d:\EcoTrack-Waste-Management-System-main\server\config\connectDB.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 4, 5, 23
"d:\EcoTrack-Waste-Management-System-main\server\config\multer.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\EcoTrack-Waste-Management-System-main\server\controllers\adminController.js", "JavaScript", 406, 0, 0, 0, 0, 0, 0, 26, 54, 486
"d:\EcoTrack-Waste-Management-System-main\server\controllers\settingsController.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 6, 11, 119
"d:\EcoTrack-Waste-Management-System-main\server\controllers\userController.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 8, 15, 80
"d:\EcoTrack-Waste-Management-System-main\server\controllers\userReportController.js", "JavaScript", 345, 0, 0, 0, 0, 0, 0, 28, 61, 434
"d:\EcoTrack-Waste-Management-System-main\server\controllers\wasteBinController.js", "JavaScript", 285, 0, 0, 0, 0, 0, 0, 20, 49, 354
"d:\EcoTrack-Waste-Management-System-main\server\eslint.config.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 2, 34
"d:\EcoTrack-Waste-Management-System-main\server\index.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 8, 13, 81
"d:\EcoTrack-Waste-Management-System-main\server\middleware\auth.js", "JavaScript", 101, 0, 0, 0, 0, 0, 0, 0, 14, 115
"d:\EcoTrack-Waste-Management-System-main\server\models\settingsModel.js", "JavaScript", 111, 0, 0, 0, 0, 0, 0, 0, 3, 114
"d:\EcoTrack-Waste-Management-System-main\server\models\userModel.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 8, 64
"d:\EcoTrack-Waste-Management-System-main\server\models\userReportModel.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 3, 62
"d:\EcoTrack-Waste-Management-System-main\server\models\wasteBinModel.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 6, 65
"d:\EcoTrack-Waste-Management-System-main\server\package-lock.json", "JSON", 0, 0, 1858, 0, 0, 0, 0, 0, 1, 1859
"d:\EcoTrack-Waste-Management-System-main\server\package.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"d:\EcoTrack-Waste-Management-System-main\server\routes\adminRoute.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 5, 8, 38
"d:\EcoTrack-Waste-Management-System-main\server\routes\settingsRoute.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 1, 5, 19
"d:\EcoTrack-Waste-Management-System-main\server\routes\userReportRoute.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"d:\EcoTrack-Waste-Management-System-main\server\routes\userRoute.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 4, 3, 13
"d:\EcoTrack-Waste-Management-System-main\server\routes\wasteBinRoute.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 3, 9, 36
"d:\EcoTrack-Waste-Management-System-main\server\scripts\optimizeDatabase.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 3, 8, 48
"d:\EcoTrack-Waste-Management-System-main\server\socket\socketIndex.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\EcoTrack-Waste-Management-System-main\server\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 1798, 20, -1954, -7865, -50, -13, -338, -151, -755, -9308
